"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"C11orf71",0.757,0.261705425562924,0.514,0.261705425562924,0.882,0.684,"7","C11orf71","7"
"TBRG1",0.756,0.339659951082752,0.512,0.339659951082752,0.976,0.63,"7","TBRG1","7"
"ZBTB11",0.756,0.270189439631015,0.512,0.270189439631015,0.965,0.821,"7","ZBTB11","7"
"LINC00511",0.755,0.462647161350541,0.51,0.462647161350541,0.7,0.24,"7","LINC00511","7"
"ZNF8302",0.755,0.439052623120941,0.51,0.439052623120941,0.982,0.874,"7","ZNF830","7"
"CDK2AP1",0.755,0.302708728396517,0.51,0.302708728396517,0.929,0.704,"7","CDK2AP1","7"
"ZNF831",0.754,0.541543022843358,0.508,0.541543022843357,0.971,0.872,"7","ZNF83","7"
"SURF1",0.754,0.467930719691029,0.508,0.467930719691028,0.959,0.807,"7","SURF1","7"
"LAPTM4B",0.754,0.258126541869025,0.508,0.258126541869024,0.947,0.645,"7","LAPTM4B","7"
"MAP4",0.753,0.53515030809987,0.506,0.535150308099869,0.965,0.553,"7","MAP4","7"
"TP53I13",0.753,0.300481719013524,0.506,0.300481719013523,0.853,0.527,"7","TP53I13","7"
"ARPC5",0.752,0.752897446062946,0.504,0.752897446062944,0.935,0.64,"7","ARPC5","7"
"UGP2",0.751,0.591866890088318,0.502,0.591866890088317,0.953,0.624,"7","UGP2","7"
"RSBN1L",0.751,0.464962417024343,0.502,0.464962417024344,0.976,0.868,"7","RSBN1L","7"
"PMPCB",0.751,0.257401020036169,0.502,0.257401020036169,0.906,0.659,"7","PMPCB","7"
"HIST1H2AC1",0.75,0.457130341464764,0.5,0.457130341464764,0.894,0.545,"7","HIST1H2AC","7"
"ANKRD29",0.75,0.314723597179936,0.5,0.314723597179936,0.924,0.638,"7","ANKRD29","7"
"IRF2BPL",0.75,0.266330025014151,0.5,0.266330025014151,0.965,0.731,"7","IRF2BPL","7"
"ZBTB201",0.749,0.935500512104263,0.498,0.935500512104262,0.976,0.879,"7","ZBTB20","7"
"PPP1R13L1",0.749,0.258765237663101,0.498,0.258765237663101,0.806,0.754,"7","PPP1R13L","7"
"ZCCHC81",0.748,0.40027727944294,0.496,0.40027727944294,0.924,0.75,"7","ZCCHC8","7"
"RABGAP1",0.748,0.39145113189097,0.496,0.39145113189097,0.976,0.81,"7","RABGAP1","7"
"SOX9",0.747,0.957755656951966,0.494,0.957755656951965,0.753,0.423,"7","SOX9","7"
"NIPBL",0.746,0.428373217029781,0.492,0.428373217029783,0.982,0.841,"7","NIPBL","7"
"TMC5",0.745,0.822245334246268,0.49,0.82224533424627,0.941,0.54,"7","TMC5","7"
"MNAT1",0.745,0.400436211645755,0.49,0.400436211645755,0.912,0.824,"7","MNAT1","7"
"CANT1",0.745,0.374465243187464,0.49,0.374465243187464,0.876,0.811,"7","CANT1","7"
"MTHFD1L",0.745,0.373796640677426,0.49,0.373796640677426,0.741,0.549,"7","MTHFD1L","7"
"AC103591.3",0.744,0.484368123726466,0.488,0.484368123726465,0.759,0.578,"7","AC103591.3","7"
"PLXNA1",0.742,0.562807366016927,0.484,0.562807366016926,0.829,0.744,"7","PLXNA1","7"
"HIST1H2AG",0.741,0.502545157011284,0.482,0.502545157011284,0.9,0.803,"7","HIST1H2AG","7"
"LPCAT4",0.741,0.496426349477725,0.482,0.496426349477725,0.812,0.474,"7","LPCAT4","7"
"BAMBI",0.741,0.356318545460258,0.482,0.356318545460258,0.794,0.405,"7","BAMBI","7"
"CALM3",0.74,0.599294222200785,0.48,0.599294222200785,0.947,0.524,"7","CALM3","7"
"CLDN7",0.74,0.590142167919731,0.48,0.590142167919731,0.888,0.497,"7","CLDN7","7"
"SNF8",0.74,0.42639088915388,0.48,0.42639088915388,0.888,0.521,"7","SNF8","7"
"EAPP1",0.739,0.437305782106778,0.478,0.437305782106779,0.882,0.647,"7","EAPP","7"
"DMWD",0.739,0.436470335638868,0.478,0.436470335638869,0.776,0.588,"7","DMWD","7"
"LURAP1L",0.739,0.369733701788161,0.478,0.369733701788161,0.841,0.892,"7","LURAP1L","7"
"SFT2D2",0.739,0.282999069567567,0.478,0.282999069567567,0.994,0.916,"7","SFT2D2","7"
"ANKRD22",0.739,0.256951068621957,0.478,0.256951068621957,0.5,0.331,"7","ANKRD22","7"
"TSR3",0.738,0.53932164295665,0.476,0.53932164295665,0.847,0.62,"7","TSR3","7"
"SKAP2",0.738,0.428918428158089,0.476,0.428918428158088,0.871,0.595,"7","SKAP2","7"
"GTPBP6",0.738,0.315239545083699,0.476,0.315239545083699,0.924,0.7,"7","GTPBP6","7"
"TNKS22",0.737,0.350258429698764,0.474,0.350258429698764,0.871,0.828,"7","TNKS2","7"
"ACTL6A",0.737,0.291627937244435,0.474,0.291627937244435,0.829,0.636,"7","ACTL6A","7"
"FDPS1",0.736,0.49147501028479,0.472,0.49147501028479,0.918,0.564,"7","FDPS","7"
